COG	Cat
COG4079	S
COG4081	S
COG4086	S
COG4089	S
COG4090	S
COG4093	S
COG4094	S
COG4102	S
COG4111	S
COG4125	S
COG4129	S
COG4194	S
COG4196	S
COG4198	S
COG4222	S
COG4223	S
COG4224	S
COG4241	S
COG4244	S
COG4245	S
COG4246	S
COG4253	S
COG4255	S
COG4259	S
COG4267	S
COG4269	S
COG4270	S
COG4272	S
COG4273	S
COG4274	S
COG4278	S
COG4279	S
COG4280	S
COG4286	S
COG4288	S
COG4289	S
COG4291	S
COG4292	S
COG4293	S
COG4296	S
COG4297	S
COG4298	S
COG4304	S
COG4306	S
COG4307	S
COG4315	S
COG4316	S
COG4318	S
COG4320	S
COG4322	S
COG4323	S
COG4325	S
COG4327	S
COG4329	S
COG4330	S
COG4331	S
COG4332	S
COG4333	S
COG4334	S
COG4336	S
COG4337	S
COG4338	S
COG4347	S
COG4354	S
COG4357	S
COG4367	S
COG4370	S
COG4371	S
COG4372	S
COG4378	S
COG4380	S
COG4390	S
COG4391	S
COG4393	S
COG4399	S
COG4402	S
COG4408	S
COG4420	S
COG4423	S
COG4425	S
COG4427	S
COG4430	S
COG4443	S
COG4446	S
COG4453	S
COG4456	S
COG4460	S
COG4466	S
COG4470	S
COG4471	S
COG4472	S
COG4475	S
COG4476	S
COG4478	S
COG4479	S
COG4481	S
COG4483	S
COG4485	S
COG4487	S
COG4493	S
COG4495	S
COG4506	S
COG4509	S
COG4517	S
COG4519	S
COG4530	S
COG4538	S
COG4541	S
COG4544	S
COG4549	S
COG4625	S
COG4628	S
COG4640	S
COG4642	S
COG4648	S
COG4649	S
COG4652	S
COG4676	S
COG4681	S
COG4682	S
COG4683	S
COG4684	S
COG4685	S
COG4687	S
COG4688	S
COG4697	S
COG4698	S
COG4699	S
COG4700	S
COG4701	S
COG4702	S
COG4703	S
COG4704	S
COG4705	S
COG4709	S
COG4711	S
COG4713	S
COG4714	S
COG4715	S
COG4716	S
COG4717	S
COG4719	S
COG4727	S
COG4728	S
COG4729	S
COG4731	S
COG4735	S
COG4737	S
COG4739	S
COG4743	S
COG4744	S
COG4746	S
COG4748	S
COG4749	S
COG4752	S
COG4755	S
COG4760	S
COG4762	S
COG4763	S
COG4765	S
COG4768	S
COG4769	S
COG4803	S
COG4805	S
COG4807	S
COG4808	S
COG4811	S
COG4814	S
COG4815	S
COG4818	S
COG4828	S
COG4834	S
COG4835	S
COG4836	S
COG4838	S
COG4840	S
COG4841	S
COG4843	S
COG4844	S
COG4847	S
COG4852	S
COG4854	S
COG4858	S
COG4859	S
COG4861	S
COG4864	S
COG4866	S
COG4867	S
COG4868	S
COG4872	S
COG4873	S
COG4874	S
COG4876	S
COG4877	S
COG4878	S
COG4879	S
COG4883	S
COG4884	S
COG4885	S
COG4887	S
COG4890	S
COG4891	S
COG4893	S
COG4895	S
COG4896	S
COG4897	S
COG4898	S
COG4899	S
COG4904	S
COG4905	S
COG4906	S
COG4907	S
COG4911	S
COG4913	S
COG4916	S
COG4920	S
COG4921	S
COG4924	S
COG4925	S
COG4929	S
COG4939	S
COG4944	S
COG4946	S
COG4949	S
COG4950	S
COG4951	S
COG4954	S
COG4955	S
COG4984	S
COG4991	S
COG4994	S
COG4995	S
COG5011	S
COG5135	S
COG5148	S
COG5255	S
COG5267	S
COG5276	S
COG5293	S
COG5294	S
COG5316	S
COG5317	S
COG5319	S
COG5321	S
COG5328	S
COG5330	S
COG5331	S
COG5338	S
COG5339	S
COG5341	S
COG5345	S
COG5346	S
COG5349	S
COG5351	S
COG5352	S
COG5353	S
COG5373	S
COG5375	S
COG5381	S
COG5388	S
COG5389	S
COG5393	S
COG5395	S
COG5397	S
COG5399	S
COG5400	S
COG5402	S
COG5403	S
COG5410	S
COG5413	S
COG5416	S
COG5418	S
COG5420	S
COG5423	S
COG5425	S
COG5427	S
COG5429	S
COG5435	S
COG5436	S
COG5438	S
COG5445	S
COG5447	S
COG5448	S
COG5449	S
COG5451	S
COG5452	S
COG5453	S
COG5454	S
COG5457	S
COG5458	S
COG5460	S
COG5462	S
COG5463	S
COG5466	S
COG5467	S
COG5468	S
COG5469	S
COG5470	S
COG5472	S
COG5473	S
COG5475	S
COG5477	S
COG5480	S
COG5481	S
COG5482	S
COG5483	S
COG5484	S
COG5486	S
COG5487	S
COG5488	S
COG5489	S
COG5490	S
COG5497	S
COG5500	S
COG5501	S
COG5502	S
COG5505	S
COG5506	S
COG5507	S
COG5508	S
COG5509	S
COG5510	S
COG5514	S
COG5515	S
COG5522	S
COG5523	S
COG5528	S
COG5530	S
COG5532	S
COG5544	S
COG5546	S
COG5547	S
COG5548	S
COG5552	S
COG5556	S
COG5559	S
COG5561	S
COG5563	S
COG5564	S
COG5567	S
COG5568	S
COG5570	S
COG5572	S
COG5578	S
COG5579	S
COG5582	S
COG5583	S
COG5584	S
COG5586	S
COG5587	S
COG5588	S
COG5589	S
COG5591	S
COG5607	S
COG5615	S
COG5618	S
COG5619	S
COG5620	S
COG5626	S
COG5633	S
COG5634	S
COG5637	S
COG5639	S
COG5645	S
COG5649	S
COG5650	S
COG5651	S
COG5652	S
COG5876	S
COG0394	T
COG0467	T
COG0478	T
COG0515	T
COG0517	T
COG0589	T
COG0631	T
COG0639	T
COG0642	T
COG0643	T
COG0664	T
COG0666	T
COG0784	T
COG0835	T
COG0840	T
COG1073	T
COG1217	T
COG1352	T
COG1366	T
COG1409	T
COG1480	T
COG1493	T
COG1524	T
COG1551	T
COG1623	T
COG1624	T
COG1639	T
COG1660	T
COG1666	T
COG1692	T
COG1702	T
COG1716	T
COG1718	T
COG1744	T
COG1774	T
COG1776	T
COG1806	T
COG1854	T
COG1871	T
COG1923	T
COG1993	T
COG2018	T
COG2062	T
COG2112	T
COG2114	T
COG2172	T
COG2184	T
COG2198	T
COG2199	T
COG2200	T
COG2201	T
COG2202	T
COG2203	T
COG2204	T
COG2205	T
COG2206	T
COG2310	T
COG2334	T
COG2339	T
COG2365	T
COG2453	T
COG2469	T
COG2703	T
COG2766	T
COG2770	T
COG2808	T
COG2905	T
COG2912	T
COG2921	T
COG2972	T
COG2976	T
COG3026	T
COG3045	T
COG3072	T
COG3073	T
COG3086	T
COG3106	T
COG3109	T
COG3193	T
COG3213	T
COG3228	T
COG3275	T
COG3287	T
COG3290	T
COG3292	T
COG3300	T
COG3322	T
COG3412	T
COG3434	T
COG3437	T
COG3447	T
COG3448	T
COG3452	T
COG3476	T
COG3480	T
COG3550	T
COG3602	T
COG3603	T
COG3605	T
COG3614	T
COG3641	T
COG3679	T
COG3806	T
COG3830	T
COG3848	T
COG3850	T
COG3851	T
COG3852	T
COG3870	T
COG3887	T
COG3916	T
COG3920	T
COG4191	T
COG4192	T
COG4219	T
COG4250	T
COG4251	T
COG4252	T
COG4398	T
COG4464	T
COG4550	T
COG4564	T
COG4579	T
COG4585	T
COG4758	T
COG4831	T
COG4853	T
COG4856	T
COG4863	T
COG4936	T
COG4943	T
COG4978	T
COG4999	T
COG5000	T
COG5001	T
COG5002	T
COG5007	T
COG5018	T
COG5126	T
COG5212	T
COG5278	T
COG5343	T
COG5385	T
COG5440	T
COG5599	T
COG5616	T
COG5635	T
COG5660	T
COG5750	T
COG5751	T
COG5752	T
COG5524	T C
COG5764	T C
COG5768	T C
COG5780	T C
COG5788	T C
COG5792	T C
COG0347	T E
COG0834	T E
COG0248	T F
COG0618	T F
COG2357	T F
COG1489	T G
COG1751	T G
COG1762	T G
COG1925	T G
COG3925	T G
COG4945	T G
COG0661	T H
COG3083	T M
COG4623	T M
COG3143	T N
COG2844	T O
COG4960	T O
COG0490	T P
COG0569	T P
COG3712	T P
COG3937	T Q
COG5394	T Q
COG1437	T R
COG1713	T R
COG3456	T U
COG3913	T U
COG2915	T X
COG0201	U
COG0341	U
COG0342	U
COG0541	U
COG0552	U
COG0653	U
COG0658	U
COG0681	U
COG0690	U
COG0805	U
COG0811	U
COG0823	U
COG0848	U
COG1096	U
COG1097	U
COG1272	U
COG1314	U
COG1325	U
COG1400	U
COG1450	U
COG1826	U
COG1862	U
COG1952	U
COG2123	U
COG2229	U
COG2257	U
COG2333	U
COG2443	U
COG2831	U
COG2948	U
COG3031	U
COG3114	U
COG3149	U
COG3156	U
COG3157	U
COG3210	U
COG3271	U
COG3297	U
COG3451	U
COG3455	U
COG3504	U
COG3505	U
COG3515	U
COG3516	U
COG3517	U
COG3518	U
COG3519	U
COG3520	U
COG3521	U
COG3522	U
COG3523	U
COG3559	U
COG3701	U
COG3702	U
COG3704	U
COG3736	U
COG3838	U
COG3843	U
COG3846	U
COG3946	U
COG4023	U
COG4083	U
COG4104	U
COG4473	U
COG4499	U
COG4618	U
COG4669	U
COG4789	U
COG4790	U
COG4791	U
COG4792	U
COG4794	U
COG4795	U
COG4796	U
COG5153	U
COG5268	U
COG5407	U
COG5417	U
COG5555	U
COG5613	U
COG4959	U O
COG5036	U P
COG3501	U X R
COG0251	V
COG0286	V
COG0388	V
COG0450	V
COG0494	V
COG0534	V
COG0577	V
COG0610	V
COG0627	V
COG0693	V
COG0732	V
COG0841	V
COG0842	V
COG1002	V
COG1131	V
COG1132	V
COG1133	V
COG1203	V
COG1275	V
COG1332	V
COG1336	V
COG1337	V
COG1343	V
COG1353	V
COG1367	V
COG1401	V
COG1403	V
COG1421	V
COG1468	V
COG1479	V
COG1487	V
COG1517	V
COG1518	V
COG1566	V
COG1567	V
COG1578	V
COG1583	V
COG1598	V
COG1604	V
COG1659	V
COG1680	V
COG1688	V
COG1694	V
COG1700	V
COG1715	V
COG1753	V
COG1764	V
COG1769	V
COG1787	V
COG1848	V
COG1857	V
COG1895	V
COG2026	V
COG2076	V
COG2161	V
COG2250	V
COG2253	V
COG2254	V
COG2274	V
COG2336	V
COG2337	V
COG2361	V
COG2367	V
COG2442	V
COG2602	V
COG2720	V
COG2746	V
COG2810	V
COG2849	V
COG2914	V
COG2929	V
COG3059	V
COG3077	V
COG3093	V
COG3155	V
COG3183	V
COG3309	V
COG3337	V
COG3415	V
COG3421	V
COG3440	V
COG3467	V
COG3510	V
COG3513	V
COG3514	V
COG3549	V
COG3570	V
COG3582	V
COG3587	V
COG3634	V
COG3649	V
COG3657	V
COG3725	V
COG3742	V
COG3744	V
COG3853	V
COG3896	V
COG4006	V
COG4096	V
COG4110	V
COG4113	V
COG4115	V
COG4118	V
COG4167	V
COG4168	V
COG4170	V
COG4171	V
COG4200	V
COG4257	V
COG4268	V
COG4343	V
COG4374	V
COG4403	V
COG4452	V
COG4461	V
COG4691	V
COG4734	V
COG4767	V
COG4823	V
COG4842	V
COG4845	V
COG5340	V
COG5428	V
COG5441	V
COG5444	V
COG5499	V
COG5551	V
COG5606	V
COG5608	V
COG5642	V
COG5654	V
COG5658	V
COG5930	V
COG5931	V
COG5932	V
COG5933	V
COG5934	V
COG5935	V
COG5936	V
COG5937	V
COG5938	V
COG5939	V
COG5940	V
COG5941	V
COG5942	V
COG5943	V
COG5944	V
COG5945	V
COG5946	V
COG5947	V
COG5948	V
COG5949	V
COG5950	V
COG0737	V F
COG0756	V F
COG1986	V F
COG2258	V F
COG3217	V F
COG1912	V H
COG3236	V H
COG0386	V I
COG0845	V M
COG3015	V M
COG0783	V P
COG2124	V Q
COG1956	V T
COG4832	V T
COG4679	V X
COG2064	W
COG3121	W
COG5430	W
COG5461	W
COG1855	W U
COG3267	W U
COG3745	W U
COG3847	W U
COG4961	W U
COG4962	W U
COG4963	W U
COG4964	W U
COG4965	W U
COG5010	W U
COG5295	W U
COG0675	X
COG1662	X
COG1783	X
COG1943	X
COG2369	X
COG2452	X
COG2801	X
COG2826	X
COG2842	X
COG2932	X
COG2963	X
COG3039	X
COG3293	X
COG3299	X
COG3316	X
COG3328	X
COG3335	X
COG3344	X
COG3378	X
COG3385	X
COG3436	X
COG3464	X
COG3466	X
COG3497	X
COG3498	X
COG3499	X
COG3500	X
COG3547	X
COG3561	X
COG3600	X
COG3617	X
COG3628	X
COG3636	X
COG3645	X
COG3646	X
COG3654	X
COG3666	X
COG3668	X
COG3676	X
COG3677	X
COG3728	X
COG3740	X
COG3747	X
COG3778	X
COG3941	X
COG3948	X
COG3953	X
COG4195	X
COG4220	X
COG4228	X
COG4342	X
COG4373	X
COG4379	X
COG4381	X
COG4382	X
COG4383	X
COG4384	X
COG4385	X
COG4386	X
COG4387	X
COG4388	X
COG4396	X
COG4397	X
COG4416	X
COG4422	X
COG4474	X
COG4518	X
COG4537	X
COG4540	X
COG4584	X
COG4626	X
COG4643	X
COG4644	X
COG4653	X
COG4672	X
COG4675	X
COG4695	X
COG4707	X
COG4718	X
COG4722	X
COG4723	X
COG4733	X
COG4824	X
COG4926	X
COG4940	X
COG4983	X
COG5003	X
COG5004	X
COG5005	X
COG5280	X
COG5281	X
COG5283	X
COG5301	X
COG5302	X
COG5314	X
COG5323	X
COG5361	X
COG5362	X
COG5377	X
COG5412	X
COG5421	X
COG5433	X
COG5437	X
COG5471	X
COG5511	X
COG5518	X
COG5525	X
COG5527	X
COG5529	X
COG5534	X
COG5545	X
COG5558	X
COG5562	X
COG5565	X
COG5585	X
COG5614	X
COG5655	X
COG5659	X
COG1664	Z
COG5023	Z
COG5277	Z
