COG	Cat
COG3033	E
COG3048	E
COG3075	E
COG3104	E
COG3138	E
COG3186	E
COG3191	E
COG3192	E
COG3200	E
COG3232	E
COG3340	E
COG3404	E
COG3457	E
COG3483	E
COG3579	E
COG3616	E
COG3633	E
COG3643	E
COG3681	E
COG3705	E
COG3724	E
COG3741	E
COG3799	E
COG3842	E
COG3844	E
COG3931	E
COG3938	E
COG3968	E
COG3977	E
COG3978	E
COG4091	E
COG4126	E
COG4160	E
COG4161	E
COG4166	E
COG4175	E
COG4176	E
COG4177	E
COG4187	E
COG4215	E
COG4229	E
COG4230	E
COG4302	E
COG4303	E
COG4311	E
COG4359	E
COG4392	E
COG4401	E
COG4413	E
COG4448	E
COG4583	E
COG4597	E
COG4598	E
COG4608	E
COG4690	E
COG4766	E
COG4810	E
COG4812	E
COG4816	E
COG4819	E
COG4820	E
COG4857	E
COG4865	E
COG4917	E
COG4992	E
COG5006	E
COG5630	E
COG0075	E F
COG0458	E F
COG0505	E F
COG0028	E H
COG0059	E H
COG0115	E H
COG0147	E H
COG0175	E H
COG0512	E H
COG1932	E H
COG0444	E P
COG0601	E P
COG1124	E P
COG1173	E P
COG2981	E P
COG0145	E Q
COG0146	E Q
COG1775	E Q
COG0493	E R
COG1063	E R
COG1168	E R
COG1387	E R
COG3185	E R
COG0005	F
COG0015	F
COG0026	F
COG0027	F
COG0034	F
COG0035	F
COG0041	F
COG0044	F
COG0046	F
COG0047	F
COG0062	F
COG0063	F
COG0104	F
COG0105	F
COG0125	F
COG0127	F
COG0138	F
COG0150	F
COG0151	F
COG0152	F
COG0167	F
COG0194	F
COG0207	F
COG0208	F
COG0209	F
COG0213	F
COG0232	F
COG0274	F
COG0283	F
COG0284	F
COG0295	F
COG0299	F
COG0418	F
COG0461	F
COG0462	F
COG0503	F
COG0504	F
COG0516	F
COG0518	F
COG0519	F
COG0528	F
COG0540	F
COG0563	F
COG0572	F
COG0613	F
COG0634	F
COG0647	F
COG0717	F
COG0788	F
COG0813	F
COG0856	F
COG1001	F
COG1051	F
COG1079	F
COG1102	F
COG1146	F
COG1328	F
COG1351	F
COG1428	F
COG1435	F
COG1457	F
COG1611	F
COG1618	F
COG1691	F
COG1759	F
COG1780	F
COG1781	F
COG1816	F
COG1828	F
COG1839	F
COG1864	F
COG1936	F
COG1957	F
COG1972	F
COG2019	F
COG2065	F
COG2131	F
COG2233	F
COG2252	F
COG2313	F
COG2351	F
COG2429	F
COG2759	F
COG2816	F
COG2820	F
COG3123	F
COG3194	F
COG3195	F
COG3199	F
COG3257	F
COG3363	F
COG3613	F
COG3845	F
COG4027	F
COG4266	F
COG4290	F
COG4317	F
COG4360	F
COG4502	F
COG4508	F
COG4603	F
COG4630	F
COG4631	F
COG4696	F
COG4741	F
COG4855	F
COG5042	F
COG5371	F
COG0775	F H
COG1953	F H
COG0369	F P
COG0402	F R
COG0537	F R
COG1896	F R
COG4119	F R
COG0021	G
COG0033	G
COG0036	G
COG0057	G
COG0058	G
COG0120	G
COG0126	G
COG0148	G
COG0149	G
COG0153	G
COG0158	G
COG0166	G
COG0176	G
COG0191	G
COG0205	G
COG0246	G
COG0269	G
COG0279	G
COG0296	G
COG0297	G
COG0362	G
COG0363	G
COG0364	G
COG0366	G
COG0380	G
COG0383	G
COG0395	G
COG0406	G
COG0448	G
COG0469	G
COG0471	G
